epoch,steps_completed,steps_total,duration_s,ms_per_step,loss,psnr,val_loss,val_psnr
1.0,720.0,720.0,399.0,554.0,0.0224,31.8381,,
2.0,720.0,720.0,358.0,498.0,0.0209,32.3609,,
3.0,720.0,720.0,358.0,497.0,0.0201,32.8391,,
4.0,720.0,720.0,414.0,575.0,0.0208,32.5775,0.0181,34.4374
5.0,720.0,720.0,358.0,498.0,0.0203,32.6829,,
6.0,720.0,720.0,358.0,498.0,0.02,32.8034,,
7.0,720.0,720.0,359.0,498.0,0.0201,32.7967,,
8.0,720.0,720.0,413.0,574.0,0.0203,32.8268,0.0178,34.6742
9.0,720.0,720.0,358.0,497.0,0.0196,32.9675,,
10.0,720.0,720.0,361.0,501.0,0.02,32.792,,
11.0,720.0,720.0,358.0,498.0,0.0196,33.0918,,
12.0,720.0,720.0,414.0,575.0,0.0194,33.0919,0.0176,34.7698
13.0,720.0,720.0,359.0,498.0,0.0197,32.9543,,
14.0,720.0,720.0,359.0,499.0,0.0197,32.9778,,
15.0,720.0,720.0,360.0,499.0,0.0196,33.0954,,
16.0,720.0,720.0,415.0,576.0,0.0199,33.0697,0.0176,34.7987
17.0,720.0,720.0,360.0,499.0,0.0194,33.1857,,
18.0,720.0,720.0,359.0,499.0,0.0197,33.0166,,
19.0,720.0,720.0,360.0,499.0,0.0197,33.0754,,
20.0,720.0,720.0,414.0,576.0,0.0197,32.846,0.0174,34.8441
21.0,720.0,720.0,359.0,499.0,0.0195,33.0841,,
22.0,720.0,720.0,360.0,500.0,0.0195,33.1478,,
23.0,720.0,720.0,360.0,500.0,0.0194,33.2739,,
24.0,720.0,720.0,414.0,575.0,0.019,33.2642,0.0174,34.8294
25.0,720.0,720.0,360.0,500.0,0.0197,33.0575,,
26.0,720.0,720.0,360.0,500.0,0.0191,33.2527,,
27.0,720.0,720.0,360.0,501.0,0.0189,33.2858,,
28.0,720.0,720.0,415.0,576.0,0.0195,33.0778,0.0173,34.9241
29.0,720.0,720.0,360.0,499.0,0.019,33.471,,
30.0,720.0,720.0,359.0,499.0,0.0193,33.1677,,
31.0,720.0,720.0,359.0,499.0,0.0195,33.152,,
32.0,720.0,720.0,415.0,576.0,0.0189,33.4396,0.0173,34.9162
33.0,720.0,720.0,359.0,499.0,0.0193,33.2515,,
34.0,720.0,720.0,360.0,500.0,0.0193,33.2005,,
35.0,720.0,720.0,359.0,499.0,0.0194,33.103,,
36.0,720.0,720.0,415.0,577.0,0.0195,33.0313,0.0173,34.9144
37.0,720.0,720.0,362.0,502.0,0.0192,33.2774,,
38.0,720.0,720.0,360.0,500.0,0.0193,33.1846,,
39.0,720.0,720.0,360.0,500.0,0.019,33.4083,,
40.0,720.0,720.0,415.0,577.0,0.0191,33.3752,0.0173,34.9067
41.0,720.0,720.0,360.0,500.0,0.0193,33.2615,,
42.0,720.0,720.0,360.0,499.0,0.0192,33.3055,,
43.0,720.0,720.0,360.0,501.0,0.0191,33.4022,,
44.0,720.0,720.0,415.0,576.0,0.0188,33.2944,0.0171,35.0589
45.0,720.0,720.0,360.0,499.0,0.0192,33.2989,,
46.0,720.0,720.0,359.0,499.0,0.0193,33.187,,
47.0,720.0,720.0,360.0,499.0,0.019,33.4477,,
48.0,720.0,720.0,414.0,575.0,0.019,33.4165,0.0172,34.9931
49.0,720.0,720.0,361.0,501.0,0.0188,33.3974,,
50.0,720.0,720.0,359.0,499.0,0.019,33.3965,,
51.0,720.0,720.0,360.0,500.0,0.019,33.3725,,
52.0,720.0,720.0,414.0,575.0,0.0187,33.4834,0.0172,34.9928
53.0,720.0,720.0,360.0,500.0,0.0192,33.2225,,
54.0,720.0,720.0,359.0,499.0,0.0193,33.2449,,
55.0,720.0,720.0,360.0,500.0,0.0186,33.5484,,
56.0,720.0,720.0,415.0,576.0,0.0188,33.464,0.017,35.0775
57.0,720.0,720.0,360.0,500.0,0.0188,33.463,,
58.0,720.0,720.0,360.0,500.0,0.0191,33.1706,,
59.0,720.0,720.0,360.0,500.0,0.0189,33.4252,,
60.0,720.0,720.0,414.0,575.0,0.0189,33.3686,0.0171,35.0098
61.0,720.0,720.0,360.0,500.0,0.0189,33.299,,
62.0,720.0,720.0,360.0,500.0,0.019,33.1999,,
63.0,720.0,720.0,359.0,499.0,0.0188,33.4293,,
64.0,720.0,720.0,414.0,576.0,0.0191,33.4221,0.017,35.0973
65.0,720.0,720.0,360.0,500.0,0.0192,33.2014,,
66.0,720.0,720.0,360.0,499.0,0.0186,33.6956,,
67.0,720.0,720.0,360.0,500.0,0.019,33.2067,,
68.0,720.0,720.0,413.0,574.0,0.0191,33.4024,0.0171,35.01
69.0,720.0,720.0,360.0,500.0,0.0191,33.4306,,
70.0,720.0,720.0,360.0,500.0,0.0195,33.0199,,
71.0,720.0,720.0,360.0,500.0,0.0187,33.5862,,
72.0,720.0,720.0,415.0,576.0,0.0189,33.4232,0.017,35.1014
73.0,720.0,720.0,360.0,500.0,0.0187,33.5119,,
74.0,720.0,720.0,360.0,500.0,0.019,33.4323,,
75.0,720.0,720.0,360.0,500.0,0.0183,33.6883,,
76.0,720.0,720.0,415.0,577.0,0.0189,33.3606,0.0169,35.1169
77.0,720.0,720.0,360.0,500.0,0.0188,33.517,,
78.0,720.0,720.0,360.0,500.0,0.0192,33.373,,
79.0,720.0,720.0,359.0,498.0,0.0189,33.4053,,
80.0,720.0,720.0,414.0,574.0,0.0188,33.4987,0.0169,35.1537
81.0,720.0,720.0,360.0,500.0,0.0189,33.3718,,
82.0,720.0,720.0,360.0,500.0,0.0187,33.3383,,
83.0,720.0,720.0,359.0,499.0,0.0189,33.3905,,
84.0,720.0,720.0,413.0,574.0,0.0191,33.4007,0.017,35.1023
85.0,720.0,720.0,360.0,500.0,0.0191,33.3881,,
86.0,720.0,720.0,360.0,500.0,0.0189,33.3229,,
87.0,720.0,720.0,360.0,500.0,0.0186,33.5198,,
88.0,720.0,720.0,420.0,584.0,0.0188,33.4666,0.0168,35.1713
89.0,720.0,720.0,360.0,500.0,0.0189,33.4432,,
90.0,720.0,720.0,360.0,500.0,0.0187,33.3743,,
91.0,720.0,720.0,360.0,500.0,0.019,33.3255,,
92.0,720.0,720.0,414.0,575.0,0.0188,33.4527,0.0169,35.1888
93.0,720.0,720.0,360.0,500.0,0.0187,33.505,,
94.0,720.0,720.0,360.0,500.0,0.0183,33.7112,,
95.0,720.0,720.0,360.0,500.0,0.0185,33.6657,,
96.0,720.0,720.0,413.0,574.0,0.019,33.2937,0.0169,35.1803
97.0,720.0,720.0,360.0,500.0,0.0186,33.653,,
98.0,720.0,720.0,360.0,500.0,0.0187,33.5098,,
99.0,720.0,720.0,362.0,503.0,0.0186,33.528,,
100.0,720.0,720.0,413.0,574.0,0.0188,33.4878,0.0169,35.0988
101.0,720.0,720.0,360.0,500.0,0.0188,33.5767,,
102.0,720.0,720.0,359.0,499.0,0.0188,33.46,,
103.0,720.0,720.0,359.0,499.0,0.0186,33.5687,,
104.0,720.0,720.0,415.0,576.0,0.0185,33.6976,0.0168,35.1765
105.0,720.0,720.0,360.0,501.0,0.0186,33.6521,,
106.0,720.0,720.0,359.0,499.0,0.0188,33.499,,
107.0,720.0,720.0,360.0,500.0,0.0185,33.666,,
108.0,720.0,720.0,415.0,577.0,0.0186,33.5553,0.0168,35.2066
109.0,720.0,720.0,363.0,504.0,0.0187,33.4582,,
110.0,720.0,720.0,359.0,499.0,0.0187,33.4198,,
111.0,720.0,720.0,360.0,500.0,0.0188,33.5179,,
112.0,720.0,720.0,414.0,575.0,0.0186,33.5538,0.0168,35.2178
113.0,720.0,720.0,360.0,499.0,0.0191,33.2528,,
114.0,720.0,720.0,359.0,499.0,0.0187,33.489,,
115.0,720.0,720.0,359.0,498.0,0.0186,33.5689,,
